challenge_id,title,description,start_date,end_date,goal_km,created_by,chat_id,is_system
1,Бодрый_Январь,Растрясти салатики!,2024-03-01,2024-03-31,100.0,1431390352,,0
2,Годовая цель 2025,,2025-01-01,2025-12-31,6666.0,,-1001487049035,1
3,Личная цель на 2025 год,,2025-01-01,2025-12-31,2025.0,,1431390352,1
9,Общая цель чата на 2025 год,,2025-01-01,2025-12-31,6000.0,,1487049035,0
10,Личная цель на 2025 год,,2025-01-01,2025-12-31,2025.0,,1431390352,1
11,Личная цель на 2025 год,,2025-01-01,2025-12-31,2025.0,,1431390352,1
12,Личная цель на 2025 год,,2025-01-01,2025-12-31,2025.0,,1431390352,1
13,Личная цель на 2025 год,,2025-01-01,2025-12-31,2026.0,,1431390352,1
14,Личная цель на 2025 год,,2025-01-01,2025-12-31,2026.0,,1431390352,1
